TimeStamp(ms),Temperature(*C),Pressure(Pa),Altitude(m),AccelX(m/s^2),AccelY(m/s^2),AccelZ(m/s^2),MagX(uT),MagY(uT),MagZ(uT),GyroX(rad/s),GyroY(rad/s),GyroZ(rad/s),OriPitch,OriRoll,OriHeading,Latitude,Longitude,Altitude(m),Speed(m/s),Voltage(V)
1001,24.51,101226.8125,-4375.3345,0,0,0,-0.1818,11.6364,49.3878,0.0411,0.2899,0.0244,0,-90,-166.7422,0,0,0,0,4.1314
2002,24.57,101231.4531,-4375.7593,0.1961,2.5105,9.2575,1.2727,12.3636,50.7143,-1.066,-1.3324,-0.1454,15.1729,-1.1714,81.2804,0,0,0,0,4.1508
3003,24.58,101228.2109,-4375.4624,-0.5099,0.0392,9.689,-0.6364,9.6364,52.0408,-1.83,-2.6023,1.4511,0.232,3.0128,-77.4298,0,0,0,0,4.1314
4004,24.58,101226.3828,-4375.2954,-0.7845,0.1177,10.042,-10.7273,-11.1818,48.3673,-3.1556,4.4059,-1.6402,0.6714,4.4669,120.5658,0,0,0,0,4.1314
5005,24.59,101227.75,-4375.4204,-0.5492,-0.1961,9.8459,-9.5455,-4.2727,49.0816,-3.9784,3.1379,-4.1864,-1.1412,3.1918,154.1304,0,0,0,0,4.1508
6006,24.6,101222.3281,-4374.9238,-0.863,0.1569,9.9636,-9.2727,0.1818,48.4694,-4.8596,2.4702,3.3243,0.9022,4.9497,173.4408,0,0,0,0,4.1443
7007,24.61,101226.3438,-4375.3823,-0.6669,0.4707,9.8851,-8.4545,1,48.8776,4.7909,1.2498,4.1505,2.7263,3.855,165.5609,0,0,0,0,4.1443
8008,24.61,101228,-4375.4429,-1.0199,0,9.689,-8.0909,1.6364,48.6735,4.5534,0.7034,3.8536,0,6.009,-150.9918,0,0,0,0,4.1508
9009,24.61,101228.8281,-4375.5186,-0.5492,-0.1569,9.7674,-7.8182,1.1818,48.9796,3.928,-0.482,2.3923,-0.9203,3.2176,-158.7363,0,0,0,0,4.1443
10010,24.61,101227.1719,-4375.3677,-1.2553,-1.2553,8.4337,-7.4545,0.6364,48.2653,3.2093,-1.7484,2.907,-8.4656,8.3747,-93.2237,0,0,0,0,4.1443
11011,24.61,101228.0156,-4375.4443,-1.6867,0.863,11.6503,-7.7273,2.0909,48.0612,2.1805,-2.7327,2.7115,4.2364,8.2159,117.9234,0,0,0,0,4.1443
12012,24.61,101229.8281,-4375.6104,-0.9022,0.1177,10.042,-7.3636,1.3636,48.2653,1.8764,-3.2645,2.8184,0.6714,5.1335,-165.1724,0,0,0,0,4.1443
13013,24.61,101230.8203,-4375.7017,-1.2945,0.0392,9.8851,-8.0909,0.9091,48.6735,1.009,-4.0685,4.0711,0.2274,7.4605,-157.1874,0,0,0,0,4.1572
14014,24.61,101228.0156,-4375.4443,-0.8238,0.4315,10.3558,-7.7273,-0.5455,48.2653,0.9384,-4.6348,4.1632,2.3859,4.5441,146.6706,0,0,0,0,4.1314
15015,24.62,101227.0781,-4375.3584,-0.7845,0.0392,9.8459,-8.9091,1.9091,47.551,-0.5789,3.8416,-3.0403,0.2283,4.5557,-161.3785,0,0,0,0,4.1572
16016,24.61,101228.8281,-4375.5186,-0.7453,0.1569,10.0028,-8.4545,3.1818,48.0612,-1.462,2.6281,4.5041,0.8987,4.2607,-153.4443,0,0,0,0,4.1443
17017,24.61,101229.5078,-4375.5811,-0.5099,0.2746,10.3558,-6.5455,3.3636,48.0612,-1.876,1.9233,3.2947,1.5189,2.8181,-153.4016,0,0,0,0,4.1443
18018,24.61,101226.8438,-4375.3374,-0.9414,0.1569,10.1205,-7,3.7273,48.9796,-2.5951,1.268,-4.4288,0.8882,5.3139,-129.301,0,0,0,0,4.1379
19019,24.6,101228.125,-4375.4546,-0.9807,0.1961,9.9636,-8.4545,4.2727,47.9592,-3.4847,-0.1697,4.6142,1.1277,5.6202,-138.1051,0,0,0,0,4.1379
20020,24.61,101228.9922,-4375.5342,-0.7845,0.2354,10.0028,-8,4.6364,48.9796,-4.0224,-1.2147,-3.0768,1.3479,4.4834,-139.9219,0,0,0,0,4.1443
21021,24.61,101229.1563,-4375.5488,-0.863,0.3138,10.1205,-8.2727,4.9091,47.7551,-4.5844,-2.1254,4.7255,1.776,4.8716,-140.6316,0,0,0,0,4.1508
22022,24.61,101228.6641,-4375.5039,-0.8238,0.1569,9.9243,-7.2727,7,48.6735,4.7906,-3.1991,-4.3089,0.9058,4.7443,-117.2857,0,0,0,0,4.1443
23023,24.6,101226.3125,-4375.2886,-0.9022,0.2746,9.5713,-6.6364,7.4545,49.0816,4.1021,-4.2057,3.4906,1.6433,5.3827,-108.1788,0,0,0,0,4.1508
24024,24.6,101226.4688,-4375.3027,-0.7453,0.2354,10.0812,-4.0909,10.6364,49.2857,3.5358,4.7006,0.547,1.3374,4.227,-92.5943,0,0,0,0,4.1379
25025,24.6,101226.6406,-4375.3184,-0.863,0.0392,9.9243,-4.0909,10.6364,48.5714,2.819,3.5401,0.8376,0.2265,4.9697,-89.2552,0,0,0,0,4.1508
26026,24.6,101227.4688,-4375.394,-1.0983,0.1177,9.8851,-3.4545,10.3636,47.9592,2.2068,2.5163,0.8935,0.6821,6.3397,-79.1563,0,0,0,0,4.1379
27027,24.59,101228.4141,-4375.6709,-0.7453,0.3138,10.0028,-2.8182,11.9091,48.8776,1.9358,1.5226,2.0666,1.7969,4.2591,-85.3387,0,0,0,0,4.1443
28028,24.6,101230.3047,-4375.6538,-0.7845,0.1961,9.9636,-2.8182,11.2727,48.1633,1.1894,0.379,0.5082,1.1277,4.5013,-84.5375,0,0,0,0,4.1443
29029,24.6,101226.8047,-4375.334,-0.5884,-0.0392,9.8459,-2.0909,10,48.2653,0.8737,-0.5641,2.5421,-0.2283,3.42,-85.5699,0,0,0,0,4.1508
30030,24.61,101225.8438,-4375.2456,-0.6669,-0.0392,10.042,-1.9091,9.7273,48.8776,0.6651,-1.0791,1.0041,-0.2238,3.7992,-82.3556,0,0,0,0,4.1443
31031,24.61,101231.3125,-4375.7461,-0.4707,0.0392,9.4144,-3.1818,10.5455,49.1837,-0.4273,-1.587,3.4984,0.2387,2.8624,-93.9807,0,0,0,0,4.1443
32032,24.6,101230.125,-4375.6377,-0.4315,0.0785,9.7674,-4.2727,8.2727,49.3878,-1.1109,-2.6105,3.2092,0.4602,2.5294,-104.8356,0,0,0,0,4.1379
33033,24.6,101231.2813,-4375.7437,-0.6669,0.1961,10.0028,-4.9091,8.1818,48.4694,-1.4699,-3.3385,3.4115,1.1233,3.8133,-102.9659,0,0,0,0,4.1379
34034,24.6,101227.7969,-4375.4243,0,-3.4912,9.5321,-4.5455,9,48.2653,-2.3749,-4.5569,2.7301,-20.1155,0,-100.2847,0,0,0,0,4.1314
35035,24.59,101226.4063,-4375.2969,0.0392,1.3337,8.9437,-2.0909,10,48.0612,-3.0415,4.6407,1.4594,8.4816,-0.2485,-129.4234,0,0,0,0,4.1379
36036,24.6,101226.3125,-4375.2886,-0.5492,0.2746,9.7674,-1.0909,9.1818,47.3469,-3.4117,4.0291,0.815,1.6103,3.2168,-78.6091,0,0,0,0,4.1379
37037,24.59,101224.7422,-4375.1455,-3.3343,-2.7066,9.2575,0.3636,7.6364,49.0816,-3.2703,3.6429,1.0802,-16.2975,19.0701,-54.5311,0,0,0,0,4.1443
38038,24.59,101225.2656,-4375.1929,-0.1569,-0.5492,9.3752,-1.7273,9.1818,49.1837,-4.0131,2.766,2.0714,-3.3524,0.9572,-94.3488,0,0,0,0,4.1443
39039,24.59,101227.25,-4375.3745,-0.3138,-0.6669,9.4144,-1.5455,10,49.1837,-4.4172,2.158,4.1792,-4.0517,1.9044,-89.7346,0,0,0,0,4.1508
40040,24.59,101228.5781,-4375.4956,-0.8238,0.6276,10.4735,-1.6364,9.7273,48.2653,4.8611,0.859,2.5314,3.4294,4.4891,-72.241,0,0,0,0,4.1508
41041,24.59,101225.7344,-4375.2354,-2.1575,-3.4519,11.8464,-10.9091,2.0909,50.3061,3.7014,-0.7721,2.4971,-16.2456,9.9178,-98.9352,0,0,0,0,4.1443
42042,24.59,101222.4219,-4374.9321,6.6293,-5.6879,4.1188,29.8182,-53,26.8367,-4.1293,-2.0659,-1.7116,-54.0903,-43.35,153.3013,0,0,0,0,4.1443
43043,24.59,101222.5859,-4374.9473,6.1978,-6.7077,0.7061,31.5455,-65.0909,-7.7551,-1.1385,2.292,1.6073,-83.991,-42.5799,144.0385,0,0,0,0,4.1508
44044,24.59,101221.5938,-4374.8569,8.7083,-3.1774,-1.5691,52.3636,-52.8182,-8.3673,3.0296,-2.1026,-0.1617,-116.2814,-67.8572,-150.043,0,0,0,0,4.1443
45045,24.59,101221.7656,-4374.8726,9.1006,-3.805,-0.6669,51.9091,-52.3636,-3.1633,0.4499,-2.7605,-0.5429,-99.9406,-66.9999,-167.9282,0,0,0,0,4.1443
46046,24.59,101216.4531,-4374.3857,8.8652,-3.2558,-2.079,53,-52.2727,-12.0408,1.4781,-1.7443,0.2698,-122.5604,-66.4551,-144.4405,0,0,0,0,4.1508
47047,24.58,101221.0781,-4374.8091,8.1591,-6.6685,-0.8238,41.8182,-60,-3.4694,-0.8399,-4.1247,-4.1058,-97.042,-50.5279,-168.7727,0,0,0,0,4.1443
48048,24.58,101220.5625,-4374.7617,7.3746,-5.6486,2.432,35.5455,-57,18.1633,2.9742,1.7964,1.5789,-66.7054,-50.174,165.6848,0,0,0,0,4.1508
49049,24.58,101223.0625,-4374.9912,8.0415,-4.9426,1.216,43.5455,-57.6364,5.102,-3.7138,1.2788,4.4062,-76.1779,-57.6677,160.5985,0,0,0,0,4.1508
50050,24.58,101222.7344,-4374.9614,7.8453,-4.2757,-0.3138,48,-55.5455,1.4286,-4.1033,1.6179,0.8381,-94.1977,-61.3449,-167.8499,0,0,0,0,4.1508
51051,24.58,101223.3828,-4375.0205,6.8254,-5.4917,3.6481,37.9091,-58.8182,12.1429,2.4969,-1.8889,3.4618,-56.4045,-45.9924,121.4773,0,0,0,0,4.1443
52052,24.58,101221.7422,-4374.8696,6.2763,-7.1,-1.7652,39.7273,-62,-3.9796,4.8423,3.7206,3.0137,-103.9617,-40.6251,-131.0066,0,0,0,0,4.1508
53053,24.59,101221.7656,-4374.8726,7.9238,-5.4133,-1.4122,45.1818,-58.1818,-0.6122,2.2672,3.0869,4.6304,-104.6209,-54.7767,-144.9047,0,0,0,0,4.1314
54054,24.58,101220.7344,-4374.5967,8.0415,-4.668,-1.1768,47.6364,-56.1818,-1.0204,1.5956,2.1318,0.75,-104.1495,-59.0931,-150.4586,0,0,0,0,4.1443
55055,24.58,101224.3984,-4375.1128,8.3553,-4.6287,-1.8829,48.1818,-55.3636,0.102,1.2339,0.6324,-3.6062,-112.1355,-59.1176,-132.569,0,0,0,0,4.1379
56056,24.57,101219.8516,-4374.6963,7.4531,-4.0403,4.0403,35.0909,-43.7273,35.5102,3.0252,1.3192,-3.2687,-45,-52.5243,165.8903,0,0,0,0,4.1314
57057,24.59,101222.2578,-4374.9175,5.0995,-2.5105,7.61,18.9091,-29.1818,51.0204,-4.2315,4.7829,0.0087,-18.2576,-32.4714,141.9191,0,0,0,0,4.1508
58058,24.58,101225.5391,-4375.2173,3.2166,-6.6293,4.6287,4.4545,-42.8182,43.8776,-0.5423,3.1794,3.9308,-55.0763,-21.6941,-147.687,0,0,0,0,4.1379
59059,24.58,101223.3828,-4375.0205,-5.4917,0.7845,7.1785,-32.3636,18,33.8776,0.2556,3.0494,4.9682,6.2371,37.253,-106.4288,0,0,0,0,4.1508
60060,24.58,101223.0469,-4374.9897,-0.5099,-5.6486,8.7868,-15.5455,-23.5455,48.2653,-4.4266,-0.7663,-2.578,-32.7352,2.7949,-154.0385,0,0,0,0,4.1508
61061,24.58,101224.5469,-4375.127,3.8442,-4.9818,7.963,10.3636,-40.1818,45,-2.6194,0.3195,-2.0896,-32.0307,-22.2576,141.7385,0,0,0,0,4.1508
62062,24.58,101219.4063,-4374.6567,4.0796,-4.9818,7.1392,12.3636,-44.8182,41.6327,-1.8306,-1.2978,-0.2297,-34.9074,-25.1085,137.6305,0,0,0,0,4.1443
63063,24.57,101225.8203,-4375.2432,3.4912,-4.4326,7.9238,11.5455,-41.7273,45,-3.6185,-2.3219,-0.5078,-29.2229,-21.0327,126.3454,-37.5494,175.2625,125.6,0.41,4.1508
64064,24.58,101224.2109,-4375.0962,3.6873,-4.8249,8.0022,9.5455,-38.0909,47.0408,4.3388,-3.7336,4.1724,-31.0875,-21.5345,147.5997,-37.5494,175.2625,125.6,0.35,4.1314
65065,24.57,101221.6719,-4374.8638,3.4912,-3.6481,7.8453,6.2727,-37.3636,47.551,3.5769,4.2936,4.1412,-24.9384,-21.9745,139.5335,-37.5494,175.2625,125.7,0.39,4.1379
66066,24.57,101219.8281,-4374.6953,3.2166,-4.7464,8.3945,6.9091,-36.0909,48.4694,2.4745,3.7189,-1.1186,-29.4847,-18.4462,148.6629,-37.5494,175.2625,125.7,0.44,4.1508
67067,24.57,101223.9766,-4375.0747,4.3934,-3.805,8.1984,11,-38.4545,46.3265,1.782,2.3034,-2.3575,-24.8967,-25.9237,135.327,-37.5494,175.2625,125.7,0.4,4.1508
68068,24.57,101221.3438,-4374.834,4.5111,-5.7663,2.7066,17.2727,-61.1818,21.1224,1.3233,3.5879,2.0676,-64.8552,-35.3053,163.4237,-37.5494,175.2625,125.7,0.26,4.1443
69069,24.58,101225.2031,-4375.187,3.3343,-8.2768,1.1376,14.0909,-67,4.1837,-3.6699,-3.2927,-0.1516,-82.1743,-21.7565,156.9993,-37.5494,175.2625,125.7,0.24,4.1379
70070,24.57,101224.4688,-4375.1196,7.6492,-5.0602,1.7652,39.2727,-61.1818,1.2245,-3.1272,-1.5976,-1.022,-70.7693,-54.9836,142.889,-37.5494,175.2625,125.7,0.16,4.1314
71071,24.57,101221.6563,-4374.8623,6.5901,-6.0801,2.2359,35.1818,-63.4545,1.7347,-3.7571,-1.959,3.7515,-69.8094,-45.4904,131.9696,-37.5494,175.2625,125.7,0.29,4.1572
72072,24.58,101228.5156,-4375.4902,6.8647,-6.3155,2.2751,31.2727,-63.6364,5.7143,4.1333,-4.0543,-2.5989,-70.1885,-45.6408,144.0478,-37.5494,175.2625,125.7,0.16,4.1443
73073,24.57,101221.3438,-4374.834,8.0022,-6.0409,-1.8437,33.0909,-65.1818,-10.4082,-3.8474,2.02,1.7819,-106.9719,-51.7168,-163.5982,-37.5494,175.2625,125.7,0.2,4.1443
74074,24.58,101222.0547,-4374.8984,7.6492,-4.0011,0.7845,52.4545,-53,-12.0408,-2.7358,-1.9111,3.5474,-78.9063,-61.9407,131.062,-37.5494,175.2625,125.7,0.05,4.1443
75075,24.57,101224.4844,-4375.1216,5.6486,0.6669,1.5691,57,-47.7273,-5.7143,1.3752,0.6866,-2.8052,23.0255,-73.2049,46.6345,-37.5494,175.2625,125.7,0.04,4.1379
76076,24.57,101223.3125,-4375.0137,8.4337,-4.4718,-0.3138,44.3636,-58.9091,-1.2245,4.4179,4.8603,-0.7466,-94.0142,-62.0077,-174.6758,-37.5494,175.2625,125.7,0.37,4.1379
77077,24.56,101223.4063,-4375.0225,8.4729,-3.6873,3.0204,35,-61.2727,-22.7551,-4.822,-2.6029,-3.5539,-50.6774,-60.64,101.6003,-37.5494,175.2625,125.7,0.15,4.1379
78078,24.57,101224.6406,-4375.1353,4.4718,-7.2177,1.2945,32.1818,-64.7273,-12.7551,1.7486,3.9865,-4.5705,-79.8322,-31.3763,100.6816,-37.5494,175.2625,125.7,0.29,4.1508
79079,24.57,101228.125,-4375.4546,6.1193,-6.9039,2.7851,33.6364,-64.8182,-10.102,-0.3147,4.3469,0.6034,-68.0304,-39.4201,106.2307,-37.5494,175.2625,125.7,0.4,4.1379
80080,24.57,101225.3047,-4375.1963,5.8055,-6.5116,3.0597,35.2727,-63.8182,-9.3878,-1.1116,0.868,1.2787,-64.8321,-38.901,100.0475,-37.5494,175.2625,125.7,0.41,4.1379
81081,24.57,101219.6641,-4374.7705,8.8652,0.5099,11.2973,56.1818,-41.5455,11.9388,1.0124,-3.2953,-3.8946,2.5845,-38.0938,47.8809,-37.5494,175.2625,125.7,0.15,4.1443
82082,24.58,101224.375,-4375.1118,4.2365,6.0017,5.531,60.9091,-2.2727,20.8163,3.6821,3.5887,-2.5815,47.3373,-27.4327,19.218,-37.5494,175.2625,125.7,1.01,4.1379
83083,24.57,101223.4766,-4375.0288,8.5906,2.3536,4.4718,65.7273,-17.0909,9.1837,-2.4653,-3.5006,-1.637,27.7585,-59.5341,30.3148,-37.5494,175.2625,125.7,0.75,4.1572
84084,24.57,101222.9844,-4374.9844,6.3547,1.3337,6.4724,62.7273,-22.8182,16.2245,-2.5345,3.2069,-2.7753,11.6434,-43.879,34.4212,-37.5494,175.2625,125.7,0.44,4.1314
85085,24.56,101220.4219,-4374.749,5.5702,-0.7453,7.2177,54.4545,-37.6364,19.898,-1.2149,-0.7324,0.5707,-5.8955,-37.5119,50.8756,-37.5494,175.2625,123.4,0.45,4.1443
86086,24.56,101221.25,-4374.8252,5.2171,-5.4525,5.884,48.5455,-53.7273,7.2449,4.7504,-0.4962,-3.2344,-42.8202,-33.0384,62.5817,-37.5494,175.2625,123.3,0.29,4.1443
87087,24.56,101223.0781,-4374.9922,6.0017,-4.2365,5.9624,51.7273,-51.0909,6.1224,3.9269,-0.5612,-1.8014,-35.3948,-39.3704,64.6503,-37.5494,175.2625,122.5,0.25,4.1314
88088,24.57,101222.6563,-4375.2715,5.9624,-4.1188,6.1193,0,0,0,-4.8642,-0.6167,2.9734,-33.9436,-38.9492,0,-37.5494,175.2625,121,0.05,4.1379
89089,24.56,101220.9219,-4374.7949,6.4724,-3.1381,6.1193,52.1818,-50.0909,7.2449,-0.9053,4.7573,-2.5812,-27.1497,-43.2636,66.5318,-37.5494,175.2625,120.4,0.03,4.1314
90090,24.56,101220.7578,-4374.7803,6.9039,-4.0011,4.9818,54.8182,-49.1818,2.0408,2.4607,-1.7086,-1.9047,-38.7697,-47.2155,70.0367,-37.5493,175.2625,119.7,0.03,4.1379
91091,24.57,101225.4688,-4375.2114,6.8647,-2.3928,6.1978,58.0909,-41.3636,9.2857,-0.3665,-4.1224,1.0582,-21.1104,-45.9372,56.3396,-37.5493,175.2625,117.9,0.14,4.1443
92092,24.57,101223.6484,-4375.0449,3.3735,-4.7856,8.2376,58.5455,-44.1818,3.0612,3.0433,3.1434,3.5264,-30.1546,-19.4993,38.0198,-37.5493,175.2625,116.1,0.12,4.1443
93093,24.56,101220.9219,-4374.7949,7.1785,-2.0006,5.1387,60.7273,-41.3636,-1.3265,0.7366,4.5881,1.427,-21.2716,-52.4692,56.2527,-37.5493,175.2625,115.3,0.08,4.1443
94094,24.56,101223.2969,-4375.0127,9.4928,-0.863,4.9426,64.0909,-37.6364,-6.4286,-2.5261,-2.6276,-3.8608,-9.9042,-62.1418,52.0057,-37.5493,175.2625,113.4,0.1,4.1379
95095,24.56,101224.2344,-4375.1055,8.0415,-0.1961,4.3149,63.3636,-37.6364,-5.5102,-3.1654,-3.9848,3.4187,-2.6026,-61.758,48.6342,-37.5493,175.2625,111.8,0.19,4.1443
96096,24.56,101225.4063,-4375.2061,8.5514,-0.9414,4.0403,63.6364,-37.4545,-4.5918,-4.541,4.8927,-3.49,-13.1164,-64.1204,57.2293,-37.5493,175.2625,110.3,0.09,4.1443
97097,24.56,101224.5703,-4375.1289,8.2768,-1.3729,4.3934,63.6364,-36.9091,-1.4286,4.6163,3.0536,-3.0087,-17.354,-60.9207,57.7475,-37.5493,175.2625,108.8,0.08,4.1443
98098,24.56,101226.1094,-4375.27,9.1398,-1.0199,4.7464,63.3636,-36.4545,-0.6122,3.4218,1.8673,-2.9299,-12.1271,-62.0242,56.7082,-37.5493,175.2624,107.5,0.07,4.1443
99099,24.56,101225.4531,-4375.21,8.3553,-1.1376,4.4326,63,-37.7273,-0.6122,2.859,0.7598,4.3721,-14.3936,-61.2901,58.4189,-37.5493,175.2624,105.7,0.33,4.1508
100100,24.56,101224.625,-4375.1343,8.3553,-1.0591,4.4326,62.8182,-39,-0.9184,2.3347,-0.3992,4.3483,-13.4382,-61.3897,59.0137,-37.5493,175.2624,104,0.14,4.1443
101101,24.56,101222.4688,-4374.9365,8.316,-1.4122,4.5503,62.8182,-38.8182,-1.8367,1.9517,-1.005,4.8735,-17.2415,-60.191,58.8179,-37.5493,175.2624,102.3,0.07,4.1443
102102,24.56,101225.4063,-4374.9209,8.3553,-1.3337,4.3934,62.9091,-38.1818,-2.0408,1.4598,-2.0226,-2.1258,-16.8868,-61.2105,59.0239,-37.5493,175.2624,100.8,0.19,4.1443
103103,24.57,101227.625,-4375.4087,8.316,-1.3729,4.3934,63.0909,-38.8182,-2.6531,0.81,-3.0343,-1.9534,-17.354,-61.0356,59.1114,-37.5493,175.2624,99.2,0.1,4.1508
104104,24.56,101228.4375,-4375.4829,8.316,-1.3729,4.3542,62.7273,-38.8182,-2.449,-0.0203,-3.6629,-1.808,-17.5009,-61.2334,59.7704,-37.5493,175.2624,97.8,0.09,4.1443
105105,24.58,101226.5313,-4375.3091,8.2768,-1.3729,4.5895,62.6364,-39.8182,-2.6531,-0.768,-4.7652,-1.7121,-16.6543,-59.9385,58.6539,-37.5493,175.2624,96.3,0.09,4.1379
106106,24.56,101220.3125,-4374.7388,8.3553,-1.3337,4.5895,62.3636,-39.8182,-2.1429,-1.6926,4.0313,-4.2035,-16.2038,-60.2296,59.2475,-37.5493,175.2624,95.1,0.1,4.1379
107107,24.57,101228.2891,-4375.4692,8.2768,-1.2945,4.4326,62.0909,-39.8182,-2.0408,-2.3309,3.5232,-4.2108,-16.2797,-60.8422,60.2029,-37.5493,175.2624,93.8,0.08,4.1443
108108,24.56,101222.5781,-4374.9463,8.2376,-1.2945,4.4326,62.5455,-40.1818,-1.6327,-3.3446,2.3314,-3.9247,-16.2797,-60.7262,60.4511,-37.5493,175.2624,92.5,0.2,4.1443
109109,24.56,101219.5938,-4374.6729,8.2768,-1.5691,4.4718,62.1818,-40.6364,-1.7347,-3.9127,1.4212,-0.8247,-19.3348,-60.2055,62.0588,-37.5493,175.2624,91.3,0.02,4.1379
110110,24.56,101224.625,-4375.1343,8.2376,-1.8829,4.3934,61.8182,-40.4545,-1.0204,2.7943,0.2396,-3.3843,-23.1986,-59.8756,64.3442,-37.5493,175.2624,90.2,0.12,4.1508
111111,24.57,101226.6484,-4375.3193,8.1984,-2.1182,4.1972,61.4545,-42.9091,-1.1224,4.7935,-0.8131,-3.7651,-26.7788,-60.1673,69.2946,-37.5493,175.2624,89.2,0.23,4.1443
112112,24.56,101221.9688,-4374.8906,8.1591,-1.726,4.4326,62.6364,-42.2727,-1.3265,4.1679,-1.7562,-0.993,-21.275,-59.7578,64.0967,-37.5493,175.2624,88.4,0.12,4.1508
113113,24.57,101224.6406,-4375.1353,8.2376,-1.4122,4.1188,62.8182,-41.5455,-2.6531,3.9567,-2.9025,-0.6724,-18.9246,-62.1403,63.9145,-37.5493,175.2624,87.5,0.15,4.1379
114114,24.57,101223.9922,-4375.0757,8.5122,-1.726,4.4718,62.6364,-41.0909,-3.1633,3.2394,-4.0584,-0.3118,-21.1048,-60.6154,62.6553,-37.5493,175.2624,86.8,0.39,4.1379
115115,24.57,101225.7969,-4375.2417,8.1199,-1.8829,4.3149,61.8182,-41.4545,-2.8571,2.3708,4.7803,-0.1298,-23.5747,-59.8952,64.1887,-37.5493,175.2624,85.5,0.21,4.1443
116116,24.57,101221.1563,-4374.8164,8.1984,-1.6083,4.7072,61.4545,-41.1818,-2.551,1.4219,3.6157,0.0677,-18.8636,-58.7527,60.4517,-37.5492,175.2624,82.8,0.13,4.1443
117117,24.56,101227.9375,-4375.437,8.0807,-1.8437,4.5111,62,-40.2727,-2.2449,0.2253,2.5998,0.326,-22.2296,-58.9068,61.4431,-37.5492,175.2624,80.4,0.05,4.1443
118118,24.56,101222.75,-4374.9619,8.1199,-1.2945,4.668,61.6364,-40.3636,-3.0612,-0.3238,1.4448,0.5878,-15.4993,-59.1808,57.9663,-37.5492,175.2623,79,0.04,4.1443
119119,24.56,101225.4063,-4375.2061,8.316,-1.7652,5.0602,61.6364,-40.4545,-2.551,-1.2091,0.3874,-1.649,-19.2307,-57.2002,58.1905,-37.5492,175.2623,74.7,0.1,4.1443
120120,24.57,101226.2969,-4375.2866,7.8061,-1.7652,4.6287,62.0909,-38.9091,-2.1429,-2.2663,-0.7364,-1.1043,-20.8746,-57.6,57.9333,-37.5492,175.2623,72.2,0.09,4.1379
121121,24.56,101227.9375,-4375.437,8.3553,-2.5497,4.2365,61.6364,-39.1818,-2.6531,-2.3112,-1.8867,-0.8925,-31.0417,-59.3833,65.4502,-37.5492,175.2623,70.6,0.07,4.1379
122122,24.57,101225.1406,-4374.9463,8.2768,-1.3337,4.6287,60.0909,-40.3636,-1.0204,-3.9531,-3.1741,1.2584,-16.0736,-59.8009,61.2712,-37.5492,175.2623,68.9,0.33,4.1379
123123,24.57,101226.2969,-4375.2866,8.3553,-0.8238,4.4718,60.2727,-40.1818,-1.3265,-4.4294,-4.173,-0.8503,-10.4375,-61.4442,59.3458,-37.5492,175.2623,67.8,0.26,4.1443
124124,24.57,101219.8281,-4374.6953,7.963,-1.0591,4.1972,60.1818,-40.1818,-1.1224,-4.9187,-4.5125,-0.9198,-14.1622,-61.4708,61.7725,-37.5492,175.2623,66.4,0.24,4.1379
125125,24.57,101234.5938,-4376.0469,8.1984,-1.5691,4.5895,60.1818,-40.1818,-1.1224,4.581,4.4486,-0.6191,-18.8746,-59.3906,62.0455,-37.5492,175.2623,65,0.25,4.1508
126126,24.57,101230.2813,-4375.6519,8.2768,-1.6083,4.4718,60.2727,-39.6364,-1.3265,4.0823,3.5343,1.7993,-19.7811,-60.1371,62.7257,-37.5492,175.2623,64,0.1,4.1443
127127,24.56,101600.1719,-4409.4697,8.0807,-1.4514,4.1188,60.4545,-39.7273,-1.1224,3.3825,2.4577,-0.2731,-19.4115,-61.6119,64.4895,-37.5492,175.2623,63.9,0.05,4.1379
128128,24.57,101263.1094,-4378.6572,8.4337,-1.5691,4.8641,60.4545,-38.5455,0.6122,1.7287,1.3456,0.0061,-17.8787,-58.7837,60.4231,-37.5492,175.2623,63.9,0.17,4.1443
129129,24.57,102590.6563,-4499.5366,8.5906,-0.9414,4.3149,60.9091,-39.1818,-2.2449,2.7113,0.2689,0.8428,-12.308,-62.7923,60.0076,-37.5492,175.2623,63.8,0.14,4.1379
130130,24.58,103479.625,-4579.7744,8.1199,-0.7453,4.2757,60.4545,-38.3636,-0.102,1.5963,-0.1407,0.9198,-9.888,-61.8751,58.9362,-37.5492,175.2623,63.8,0.17,4.1443
131131,24.57,102402.7344,-4482.5024,8.5906,0.7453,6.9039,60.6364,-39.2727,-2.551,1.7097,-1.2431,1.1545,6.1615,-51.0506,41.7971,-37.5492,175.2623,63.7,0.03,4.1314
132132,24.56,101246.4609,-4377.1333,8.2376,-1.0199,4.4718,0,0,0,-2.4856,1.7753,0.5974,-12.8477,-60.8911,0,-37.5492,175.2623,63.7,0.13,4.1508
133133,24.56,101223.25,-4375.0078,8.4337,-1.2553,3.8834,60.8182,-38.2727,-2.3469,-0.8636,2.784,-4.9961,-17.9125,-64.1766,64.2591,-37.5492,175.2623,63.6,0.34,4.1443
134134,24.57,101229.4688,-4375.5776,9.1006,0.1569,2.3144,65.0909,-30.6364,-12.3469,-0.2246,-1.523,-4.9387,3.8785,-75.7001,44.7207,-37.5492,175.2623,63.6,0.06,4.1443
